ProductURL,ProductName,RootCate,SubCate,CurrentPrice,TimeStamp
https://www.target.com/p/-/A-78137061,Eurek FloorRover Upright Bagless Vacuum Cleaner (Certified Refurbished),Home,Refurbished & Reconditioned Appliances,99.99,22/01/2022 23:18:26
https://www.target.com/p/-/A-82401088,Big Dot of Happiness Sweet 16 - 16th Birthday Party Favor Popcorn Treat Boxes - Set of 12,Party Supplies,Favor Boxes & Bags,15.99,22/01/2022 23:18:29
https://www.target.com/p/-/A-82450760,"Cardinal Card File Non-Glr 96-Card Cap 4-1/4""x1/2""x10-3/8"" BK 34422",School & Office Supplies,Portfolios,14.76,22/01/2022 23:18:31
https://www.target.com/p/-/A-82238394,My Universe Pet Clinic: Cats &#38; Dogs - PlayStation 4,Video Games,PlayStation 4,27.99,22/01/2022 23:18:34
https://www.target.com/p/-/A-53788306,Silicon Valley: The Complete Fifth Season (DVD),"Movies, Music & Books",Movies,14.99,22/01/2022 23:18:36
https://www.target.com/p/-/A-76871549,Fire On The Mountain (DVD)(2011),"Movies, Music & Books",Movies,18.39,22/01/2022 23:18:39
https://www.target.com/p/-/A-15701640,Lana Del Rey - Ultraviolence (2 LP)(Explicit) (EXPLICIT LYRICS) (Vinyl),"Movies, Music & Books",Vinyl Records,24.99,22/01/2022 23:18:42
https://www.target.com/p/-/A-79447335,"Monoprice Durable USB 2.0 Type-C Charge and Sync Kevlar Reinforced Nylon-Braid Cable - 6 Feet - White | 5A/100W, Aluminum Connectors - AtlasFlex",Electronics,"iPad, Tablet & E-reader Accessories",17.99,22/01/2022 23:18:45
https://www.target.com/p/-/A-79575828,"QPower GMC Chevy Silverado Ext Cab '99-06 Dual Underseat Two 10"" Subwoofer Box",Home,Car Electronics,134.99,22/01/2022 23:18:48
https://www.target.com/p/-/A-80827498,Effective STL - (Addison-Wesley Professional Computing) by  Scott Meyers (Paperback),"Movies, Music & Books",Computers & Technology Books,54.99,22/01/2022 23:18:51
https://www.target.com/p/-/A-78397613,C2G 3ft Cat6 Snagless Unshielded (UTP) Network Patch Ethernet Cable - Black - Category 6 for Network Device - RJ-45 Male - RJ-45 Male - 3ft - Black,Electronics,Wi-Fi & Networking Accessories,17.99,22/01/2022 23:18:53
